brand,brand_adj
EAGLE CREEK,EAGLE CREEK
EASTPAK,EASTPAK
KIPLING US,KIPLING
KIPLING EU,KIPLING
SMARTWOOL,SMARTWOOL
TBL KOREA,TIMBERLAND
VANS EU,VANS
TNF EU,TNF
TIMBERLAND EU,TIMBERLAND
NAPAPIJRI,NAPAPIJRI
VANS CANADA,VANS CANADA
DICKIES,DICKIES
ICEBREAKER AUS,ICEBREAKER
ICEBREAKER NZ,ICEBREAKER
ICEBREAKER EU,ICEBREAKER
ICEBREAKER UK,ICEBREAKER
ICEBREAKER CANADA,ICEBREAKER
ICEBREAKER US,ICEBREAKER
ALTRA,ALTRA
TIMBERLAND US,TIMBERLAND
TNF US,TNF
VANS US,VANS
WORK AUTHORITY,WORK AUTHORITY
DICKIES CANADA,DICKIES
VANS BRAZIL,VANS
TNF CANADA,TNF CANADA
JANSPORT,JANSPORT
TIMBERLAND CANADA,TIMBERLAND
