Domain,Competitor,Brand
abercrombie & fitch,abercrombieandfitch,"Lee,Wrangler,Nautica"
adidas,adidas,"Vans,Timberland,Reef,Vans EU"
amazon.com,amazon,This will be applicable to all Brands
american eagle outfitters,ae,"Lee,Wrangler,Nautica"
arc'teryx,arcteryx,TNF
athleta,gap,"Lucy,TNF"
balega.com,balega,Smartwool
big 5 sporting goods,big5sportinggoods,TNF
bonobos,bonobos,Nautica
burlington coat factory,burlingtoncoat,TNF
burton snowboard company,burton,TNF
calvin klein,calvinklein,"Lee,Wrangler,Nautica"
canadagoose.com,canadagoose,TNF
coach,coach,Kipling
colehaan,colehaan,"Vans,Timberland,Reef"
columbia sportswear company,columbia,TNF
converse online,converse,"Vans,Timberland,Reef,Vans EU"
dakine,dakine,Eastpak
darntough.com,darntough,Smartwool
dick's sporting goods,dickssportinggoods,Majestic
dsw,dsw,"Vans,Timberland,Reef"
ebags,ebags,"Kipling,Eagle Creek,Jansport"
fabletics,fabletics,Lucy
fanatics.com,fanatics,Majestic
fansedge,fansedge,Majestic
foot locker,footlocker,"Vans,Timberland"
forever 21,forever21,"Lee,Wrangler,Nautica"
fossil,fossil,Kipling
gap,gap,"Lee,Wrangler,Nautica"
guess,guess,Kipling
h&m,hm,"Lee,Wrangler,Nautica"
havaianas us,havaianas,Reef
icebreaker,icebreaker,Smartwool
j. crew,jcrew,Nautica
jack wolfskin,jack-wolfskin,TNF China
jc penney,jcpenney,JanSport
journeys.com,journeys,JanSport
kenneth cole,kennethcole,Nautica
kohls.com,kohls,Jansport
l.l.bean,llbean,Timberland
lesportsac,lesportsac,Kipling
levi's international,levi,"Lee,Wrangler"
lorna jane,lornajane,Lucy
lululemon athletica,lululemon,Lucy
macy*s,macys,Timberland
menswearhouse.com,menswearhouse,"Vans,Timberland,Reef"
michael kors,michaelkors,Kipling
mlbshop.com,mlbshop,Majestic
nike,nike,"Vans,Timberland,Reef,Vans EU"
nordstrom,nordstrom,Timberland
old navy,oldnavy,"Lee,Wrangler,Nautica"
olukai.com,olukai,Reef
patagonia,patagonia,TNF
ralph lauren,ralphlauren,Nautica
ross stores,rossstores,Applicable to all Brands
samsonite,samsonite,"Jansport,Kipling,eastpak"
sears,sears,Applicable to all Brands
stance.com,stance,Smartwool
staples.com,staples,JanSport
sweaty betty,sweatybetty,Lucy
target,target,"Wrangler,JanSport"
teva (decker's outdoor corp),teva,Reef
the frye company,thefryecompany,Timberland
the herschel supply co. brand,herschelsupply,Eastpak
thorlo,thorlo,Smartwool
tilly's,tillys,JanSport
"tjx companies, inc",tjx,"Lee,Wrangler"
tommy,tommy,Nautica
urban outfitters,urbanoutfitters,Nautica
vera bradley,verabradley,Kipling
walmart,walmart,Wrangler
www.calvinklein.us,calvinklein,Nautica
zappos.com,zappos,"Vans,Timberland,JanSport,Reef"
zumiez,zumiez,Vans
splendid,splendid,Majestic
7 for all mankind,7 for all mankind,Lee
vf outlet,vf outlet,vf outlet
vfoutlet,vfoutlet,vfoutlet
