BRAND_ID,BRAND,BRAND_ADJ,BRAND_REGION,BRAND_CATEGORY
0,N/A,N/A,N/A,N/A
1,BULWARKFR,BULWARK,NORTH AMERICA,IMAGEWEAR
2,EAGLE CREEK,EAGLE CREEK,NORTH AMERICA,OUTDOOR & ACTION SPORTS
3,EASTPAK,EASTPAK,EMEA,OUTDOOR & ACTION SPORTS
4,JANSPORT,JANSPORT,NORTH AMERICA,OUTDOOR & ACTION SPORTS
5,KIPLING US,KIPLING,NORTH AMERICA,OUTDOOR & ACTION SPORTS
6,KIPLING EU,KIPLING,EMEA,OUTDOOR & ACTION SPORTS
7,KIPLING APAC,KIPLING,APAC,OUTDOOR & ACTION SPORTS
8,LEE CASA,LEE,CASA,JEANSWEAR
9,LEE EU,LEE,EMEA,JEANSWEAR
10,LEE,LEE,NORTH AMERICA,JEANSWEAR
11,RIDERS BY LEE,LEE,NORTH AMERICA,JEANSWEAR
12,LUCY,LUCY,NORTH AMERICA,OUTDOOR & ACTION SPORTS
13,MAJESTIC,MAJESTIC,NORTH AMERICA,IMAGEWEAR
14,NAUTICA,NAUTICA,NORTH AMERICA,SPORTSWEAR
15,REDKAP,REDKAP,NORTH AMERICA,IMAGEWEAR
16,REEF,REEF,NORTH AMERICA,OUTDOOR & ACTION SPORTS
17,ROCKANDREPUBLIC,ROCKANDREPUBLIC,NORTH AMERICA,JEANSWEAR
18,SMARTWOOL,SMARTWOOL,NORTH AMERICA,OUTDOOR & ACTION SPORTS
19,TBL KOREA,TIMBERLAND,APAC,OUTDOOR & ACTION SPORTS
20,TIMBERLAND US,TIMBERLAND,NORTH AMERICA,OUTDOOR & ACTION SPORTS
21,TIMBERLAND EU,TIMBERLAND,EMEA,OUTDOOR & ACTION SPORTS
22,TNF CHINA,TNF,APAC,OUTDOOR & ACTION SPORTS
23,TNF US,TNF,NORTH AMERICA,OUTDOOR & ACTION SPORTS
24,TNF EU,TNF,EMEA,OUTDOOR & ACTION SPORTS
25,TNF CANADA,TNF CANADA,NORTH AMERICA,OUTDOOR & ACTION SPORTS
26,VANS EU,VANS,EMEA,OUTDOOR & ACTION SPORTS
27,VANS US,VANS,NORTH AMERICA,OUTDOOR & ACTION SPORTS
28,WRANGLER CASA,WRANGLER,CASA,JEANSWEAR
29,WRANGLER EU,WRANGLER,EMEA,JEANSWEAR
30,WRANGLER,WRANGLER,NORTH AMERICA,JEANSWEAR
31,WRANGLER WORKWEAR,WRANGLER,NORTH AMERICA,IMAGEWEAR
32,NAPAPIJRI,NAPAPIJRI,EMEA,OUTDOOR & ACTION SPORTS
33,TIMBERLAND CANADA,TIMBERLAND,NORTH AMERICA,OUTDOOR & ACTION SPORTS
34,VANS CANADA,VANS,NORTH AMERICA,OUTDOOR & ACTION SPORTS
35,VANS BRAZIL,VANS,CASA,OUTDOOR & ACTION SPORTS
36,ALTRA,ALTRA,NORTH AMERICA,OUTDOOR & ACTION SPORTS
37,DICKIES,DICKIES,NORTH AMERICA,JEANSWEAR
38,DICKIES CANADA,DICKIES,NORTH AMERICA,JEANSWEAR
39,ICEBREAKER AUS,ICEBREAKER,AUSTRALIA,JEANSWEAR
40,ICEBREAKER CANADA,ICEBREAKER,NORTH AMERICA,JEANSWEAR
41,ICEBREAKER EU,ICEBREAKER,EMEA,JEANSWEAR
42,ICEBREAKER NZ,ICEBREAKER,AUSTRALIA,JEANSWEAR
43,ICEBREAKER UK,ICEBREAKER,EMEA,JEANSWEAR
44,ICEBREAKER US,ICEBREAKER,NORTH AMERICA,JEANSWEAR
45,WORK AUTHORITY,WORK AUTHORITY,NORTH AMERICA,OUTDOOR & ACTION SPORTS
