ProfileId,Brand,Region
57366513,EAGLE CREEK,NORTH AMERICA
136957201,EASTPAK,EMEA
63771921,KIPLING US,NORTH AMERICA
136941077,KIPLING EU,EMEA
109388948,REDKAP,NORTH AMERICA
2925668,SMARTWOOL,NORTH AMERICA
108389700,TBL KOREA,APAC
102266013,TNF CHINA,APAC
136961710,VANS EU,EMEA
136943367,TNF EU,EMEA
136951543,TIMBERLAND EU,EMEA
136973431,NAPAPIJRI,EMEA
82395699,VANS CANADA,NORTH AMERICA
24207126,DICKIES,NORTH AMERICA
65555181,ICEBREAKER AUS,AUSTRALIA
65575510,ICEBREAKER NZ,AUSTRALIA
78484842,ICEBREAKER EU,EMEA
79018115,ICEBREAKER UK,EMEA
50813812,ICEBREAKER CANADA,NORTH AMERICA
97505717,ICEBREAKER US,NORTH AMERICA
48274016,ALTRA,NORTH AMERICA
94211005,TIMBERLAND US,NORTH AMERICA
76772974,TNF US,NORTH AMERICA
84007259,VANS US,NORTH AMERICA
126499560,WORK AUTHORITY,NORTH AMERICA
42461327,DICKIES CANADA,NORTH AMERICA
114090822,EASTPAK,EMEA
114064356,KIPLING EU,EMEA
61320591,VANS EU,EMEA
119478416,TNF EU,EMEA
119391031,TIMBERLAND EU,EMEA
26756909,NAPAPIJRI,EMEA
82395666,VANS BRAZIL,CASA
